vehicleId,driverId,timestamp,unixTime,engineState,speed_mph,engineHours_hr,odometer_miles,fuelLevel_pct,fuelTemperature_C,engineOilPressure_psi,longitudinalAcceleration_ms2,brakePosition_pct,fuelRate_L_per_hr,idleFuelConsumed_L,fuelIntegrated_L,fuel_drop_pct,distance_miles,miles_per_fuel_pct,is_idle,fuel_consumed_idle_L,fuel_consumed_moving_L,acceleration_abs,brake_intensity,driver_aggressiveness,engine_on_duration_sec,speed_bucket,fuel_rate_eff,refill_event,fuel_cycle,time_since_refill_sec,fuel_pct_remaining,fuel_burn_pct_per_sec,fuel_burn_pct_per_sec_smooth,fuel_time_to_empty_sec,fuel_time_to_empty_min,fuel_time_to_empty_hr,fuel_theft_flag,expected_fuel_drop,sudden_drop_trip_flag,fuel_efficiency_miles_per_pct,low_efficiency_flag,idle_fuel_flag,fuel_sensor_tamper_flag,fuel_leak_flag,consumption_rate_L_per_sec,fuel_time_to_empty_sec_v2,fuel_time_to_empty_hr_v2,fuel_per_mile,driver_fuel_efficiency_score,fuel_level_alert,fuel_time_to_empty_alert
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:00,1761937200,ON,47.99,0.08,4,84.76,39.6,50.8,-0.34,10,21.9,0,0.24,0,0,0,0,0,1.825,0.34,0.1,0.268,300,2,27.7692,0,0,0,84.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006083333,13933.15068,3.870319635,0,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:05,1761937500,ON,47.34,0.17,7.94,84.52,39.2,48.8,0.15,1,21.7,0,0.48,0.24,3.94,16.41666667,0,0,1.808333333,0.15,0.01,0.108,300,2,24.0436,0,0,300,84.52,0.0008,0.0004,211300,3521.666667,58.69444444,0,0.231713331,0,16.41666667,0,0,0,0,0.006027778,14021.75115,3.894930876,0.060913706,0.850562463,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:10,1761937800,ON,50.89,0.25,12.19,84.27,39.2,49.8,-0.1,27,22.77,0,0.73,0.25,4.25,17,0,0,1.8975,0.1,0.27,0.151,300,3,26.20827,0,0,600,84.27,0.000833333,0.000544444,154781.6327,2579.693878,42.99489796,0,0.249944583,0,17,0,0,0,0,0.006325,13323.32016,3.700922266,0.058823529,0.137122558,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:15,1761938100,ON,58.47,0.33,17.06,83.98,39.1,52.9,0.12,43,25.04,0,1.02,0.29,4.87,16.79310345,0,0,2.086666667,0.12,0.43,0.213,300,3,30.37352,0,0,900,83.98,0.000966667,0.00065,129200,2153.333333,35.88888889,0,0.286407087,0,16.79310345,0,0,0,0,0.006955556,12073.80192,3.353833866,0.059548255,0.281586738,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:20,1761938400,ON,58.7,0.42,21.95,83.68,38.9,53.6,0.11,20,25.11,0,1.32,0.3,4.89,16.3,0,0,2.0925,0.11,0.2,0.137,300,3,28.55007,0,0,1200,83.68,0.001,0.00072,116222.2222,1937.037037,32.28395062,0,0.287583296,0,16.3,0,0,0,1,0.006975,11997.13262,3.332536838,0.061349693,0.898934281,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:25,1761938700,ON,57.91,0.5,26.78,83.39,38.1,55.9,-0.48,1,24.87,0,1.61,0.29,4.83,16.65517241,0,0,2.0725,0.48,0.01,0.339,300,3,33.30093,0,0,1500,83.39,0.000966667,0.000761111,109563.5036,1826.058394,30.43430657,0,0.284054667,0,16.65517241,0,0,0,1,0.006908333,12070.92883,3.353035786,0.060041408,0.53285968,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:30,1761939000,ON,60.86,0.58,31.85,83.09,37.7,53.6,0,46,25.76,0,1.91,0.3,5.07,16.9,0,0,2.146666667,0,0.46,0.138,300,3,29.31488,0,0,1800,83.09,0.001,0.000927778,89558.08383,1492.634731,24.87724551,0,0.298169185,0,16.9,0,0,0,1,0.007155556,11611.95652,3.225543478,0.059171598,0.18401421,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:35,1761939300,ON,55.63,0.67,36.48,82.81,37.2,51.4,0.26,5,24.19,0,2.19,0.28,4.63,16.53571429,0,0,2.015833333,0.26,0.05,0.197,300,3,28.95543,0,0,2100,82.81,0.000933333,0.00095,87168.42105,1452.807018,24.21345029,0,0.272292569,0,16.53571429,0,0,0,1,0.006719444,12323.93551,3.42331542,0.060475162,0.747365305,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:40,1761939600,ON,50.96,0.75,40.73,82.56,37,51.1,0.34,43,22.79,0,2.44,0.25,4.25,17,0,0,1.899166667,0.34,0.43,0.367,300,3,31.15393,0,0,2400,82.56,0.000833333,0.00095,86905.26316,1448.421053,24.14035088,0,0.249944583,0,17,0,0,0,1,0.006330556,13041.50943,3.622641509,0.058823529,0.136826525,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,01/11/2025 0:45,1761939900,ON,57.99,0.83,45.56,82.27,37.1,55.3,0.42,7,24.9,0,2.73,0.29,4.83,16.65517241,0,0,2.075,0.42,0.07,0.315,300,3,32.7435,0,0,2700,82.27,0.000966667,0.00095,86600,1443.333333,24.05555556,0,0.284054667,0,16.65517241,0,0,0,1,0.006916667,11894.45783,3.304016064,0.060041408,0.532741267,LOW,LOW
