vehicleId,engineState,unixTime,timestamp,speed_mph,rpm,moving,engineHours_hr,odometer_miles,load_pct,engineCoolantTemp_F,engineCoolantLevel_pct,engineOilTemp_F,engineOilPressure
VEH_001,ON,1704067200,01/01/2024 00:00,80,1600,1,0.0,0.0,20,183.2,97.3,176.8,47.6
VEH_001,ON,1704067500,01/01/2024 00:05,60,1800,1,0.08,0.05,30,188.1,96.1,170.3,47.2
VEH_001,ON,1704067800,01/01/2024 00:10,30,700,1,0.17,0.1,30,184.5,99.3,172.3,51.6
VEH_001,ON,1704068100,01/01/2024 00:15,10,900,1,0.25,0.15,80,198.0,83.7,183.8,48.1
VEH_001,OFF,1704068400,01/01/2024 00:20,0,700,0,0.33,0.2,30,213.2,87.4,178.5,47.7
VEH_001,ON,1704068700,01/01/2024 00:25,80,1200,1,0.42,0.25,30,203.7,81.7,187.0,48.6
VEH_001,ON,1704069000,01/01/2024 00:30,80,700,1,0.5,0.3,80,208.6,78.4,189.8,48.1
VEH_001,ON,1704069300,01/01/2024 00:35,60,700,1,0.58,0.35,60,228.5,93.2,197.3,41.3
VEH_001,ON,1704069600,01/01/2024 00:40,60,700,1,0.67,0.4,80,219.6,99.9,198.4,45.8
VEH_001,ON,1704069900,01/01/2024 00:45,80,1600,1,0.75,0.45,20,231.6,91.7,209.2,40.1
VEH_001,OFF,1704070200,01/01/2024 00:50,0,1200,0,0.83,0.5,30,235.8,90.2,204.2,45.2
VEH_001,ON,1704070500,01/01/2024 00:55,60,700,1,0.92,0.55,60,223.3,93.7,204.1,49.2
VEH_001,ON,1704070800,01/01/2024 01:00,10,1600,1,1.0,0.6,30,184.2,90.9,174.9,48.8
VEH_001,ON,1704071100,01/01/2024 01:05,10,900,1,1.08,0.65,80,174.2,95.4,164.1,51.5
VEH_001,ON,1704071400,01/01/2024 01:10,10,900,1,1.17,0.7,60,166.3,95.6,184.6,52.2
VEH_001,ON,1704071700,01/01/2024 01:15,60,1200,1,1.25,0.75,20,185.0,94.4,178.6,54.8
VEH_001,ON,1704072000,01/01/2024 01:20,60,1600,1,1.33,0.8,30,169.7,100.0,167.7,52.5
VEH_001,OFF,1704072300,01/01/2024 01:25,0,900,0,1.42,0.85,60,176.0,100.0,154.9,65.0
VEH_001,ON,1704072600,01/01/2024 01:30,60,1600,1,1.5,0.9,20,213.4,91.3,218.1,50.9
VEH_001,ON,1704072900,01/01/2024 01:35,80,900,1,1.58,0.95,60,232.3,92.9,200.8,41.2
VEH_001,ON,1704073200,01/01/2024 01:40,80,700,1,1.67,1.0,20,225.5,91.1,203.2,39.2
